province_name,income,col,housing,food,transport
Abra,15587.22,10777.33,32260.0,94710.0,8700.0
Agusan del Norte,13736.9,9911.75,31910.0,89098.0,11752.0
Agusan del Sur,11032.06,8294.65,18800.0,86131.55,7651.0
Aklan,17011.96,11143.56,36332.0,98302.0,11514.0
Albay,14016.21,9307.69,39262.5,79238.75,9735.0
Antique,15060.63,9209.32,27250.0,78095.75,7878.0
Apayao,16008.33,10081.82,31268.0,109174.5,8470.0
Aurora,15067.62,10167.8,29700.0,86642.0,9970.0
Basilan,11055.52,7045.36,21125.0,84846.25,7365.0
Bataan,20723.52,13701.3,53992.0,103622.5,14856.0
Batanes,27254.1,15388.1,57235.0,80768.0,12821.0
Batangas,22264.0,13480.42,54790.0,90097.42,13740.0
Benguet,24923.33,15000.35,67770.0,84463.0,10834.0
Biliran,14459.26,8973.2,28970.0,84934.0,8580.0
Bohol,14074.83,8261.71,32106.0,70305.5,8160.0
Bukidnon,13397.13,6615.6,22000.0,58094.0,7360.0
Bulacan,21062.83,14055.19,51540.0,107818.0,15465.0
Cagayan,17413.33,10787.73,41650.0,87754.0,10000.0
Camarines Norte,13493.33,8393.67,31680.0,76593.75,6760.0
Camarines Sur,13424.08,7741.75,31280.0,69690.0,8050.0
Camiguin,15767.21,10043.21,36604.5,79710.0,11081.5
Capiz,14683.33,10782.64,31140.0,93899.5,9505.0
Catanduanes,12058.99,8984.83,29834.5,87801.0,8357.5
Cavite,26045.33,16016.0,66950.0,107669.0,15260.0
Cebu,20893.18,12272.67,48000.0,93195.88,13143.0
Compostela Valley,14578.8,7508.79,24232.0,69237.52,9017.0
Davao Oriental,11162.67,6860.58,19900.0,67336.6,7110.0
Davao del Norte,15165.86,10927.56,33487.0,90987.18,9652.0
Davao del Sur,14794.81,8519.27,28830.0,69736.5,8340.0
Dinagat Islands,12500.21,7143.06,24958.0,68386.0,5845.0
Eastern Samar,12120.7,8456.67,25980.0,83714.0,6320.0
Guimaras,15509.62,11118.89,27275.0,96830.46,12740.0
Ifugao,16308.18,8598.89,28800.0,72152.0,8574.0
Ilocos Norte,27082.08,15399.73,41015.0,133832.0,17326.0
Ilocos Sur,19531.08,11130.38,45335.0,78063.5,10745.0
Iloilo,18883.33,10610.17,40900.0,86135.0,12100.0
Isabela,16662.9,9881.85,38823.0,77129.34,9345.0
Kalinga,19399.09,11657.25,39150.0,113610.0,9680.0
La Union,19491.6,11407.56,36830.0,95613.0,10620.0
Laguna,23848.0,16043.78,58850.0,119080.0,16500.0
Lanao del Norte,13728.75,8643.5,30155.0,80222.0,9360.0
Lanao del Sur,12789.19,9487.14,23050.0,129579.51,5850.0
Leyte,15333.13,10434.99,38251.0,85146.0,10585.0
Maguindanao,9801.44,7837.9,20855.0,83856.0,7786.0
Marinduque,14837.59,10837.14,29790.0,95907.0,8800.0
Masbate,12593.42,7563.82,17729.0,81018.0,6242.0
Metropolitan Manila,28055.5,18353.3,83490.0,127933.85,16204.0
Misamis Occidental,13080.92,9249.73,25960.0,86919.5,10070.0
Misamis Oriental,16674.33,9856.6,39360.0,79138.0,11320.0
Mountain Province,17068.33,9530.0,24920.0,84314.0,5015.0
Negros Occidental,16565.27,11397.55,38501.0,98159.0,11960.0
Negros Oriental,12445.0,7326.0,23340.0,58866.0,7280.0
North Cotabato,14304.67,8889.33,26586.0,82796.0,9480.0
Northern Samar,13674.17,7398.21,28044.0,75952.75,4881.5
Nueva Ecija,19394.33,12288.67,45200.0,97215.0,10895.0
Nueva Vizcaya,15884.01,10215.17,33645.0,85559.5,12125.0
Occidental Mindoro,12446.18,8100.63,25709.0,75195.5,7265.0
Oriental Mindoro,14400.67,8738.58,32980.0,66269.0,10400.0
Palawan,15053.33,9145.77,32290.0,75671.0,9412.0
Pampanga,27263.0,17468.44,79440.0,131222.5,17018.0
Pangasinan,16047.53,10031.17,37770.0,81988.0,9650.0
Quezon,15279.39,11640.52,39960.0,104683.0,9615.0
Quirino,16363.64,8998.17,30090.0,71686.25,9070.0
Rizal,24703.73,16767.93,61940.0,126688.5,22854.0
Romblon,11594.61,8593.9,23100.0,80753.0,7012.0
Samar,10482.5,7385.34,22160.0,78810.0,5080.0
Sarangani,10518.33,7164.48,19452.0,72932.0,7200.0
Siquijor,16919.63,9521.26,28293.0,86954.5,10400.0
Sorsogon,11592.83,8728.02,27290.0,85396.0,7346.0
South Cotabato,14791.0,10054.94,30606.0,79883.0,12270.0
Southern Leyte,15378.47,10396.56,29252.5,94722.25,9105.0
Sultan Kudarat,11063.39,7898.73,22622.0,73648.0,8691.5
Sulu,12800.0,7740.0,13785.0,99378.5,4385.0
Surigao del Norte,15797.14,8892.25,29872.0,80377.62,7889.0
Surigao del Sur,12719.83,9379.22,29800.0,92594.0,8484.0
Tarlac,20188.63,14095.37,49920.0,113573.25,14203.0
Tawi-Tawi,10491.67,6109.53,29700.0,55784.0,6350.0
Zambales,19918.55,14489.22,61200.0,100777.0,13082.0
Zamboanga Sibugay,10809.24,7216.25,20090.0,76200.5,6977.0
Zamboanga del Norte,11239.29,7717.98,19395.0,79827.0,7690.0
Zamboanga del Sur,13925.67,9172.87,30200.0,87231.0,9310.0
