province_name,bin,count,variable,bin_label
Abra,"(-0.001, 25000.0]",13,food,0k - 25k
Abra,"(25000.0, 50000.0]",133,food,25k - 50k
Abra,"(50000.0, 75000.0]",309,food,50k - 75k
Abra,"(75000.0, 100000.0]",372,food,75k - 100k
Abra,"(100000.0, 125000.0]",258,food,100k - 125k
Abra,"(125000.0, 150000.0]",179,food,125k - 150k
Abra,"(150000.0, 175000.0]",89,food,150k - 175k
Abra,"(175000.0, 200000.0]",62,food,175k - 200k
Abra,"(200000.0, 225000.0]",27,food,200k - 225k
Abra,"(225000.0, 250000.0]",16,food,225k - 250k
Abra,"(-0.001, 20000.0]",260,housing,0k - 20k
Abra,"(20000.0, 40000.0]",711,housing,20k - 40k
Abra,"(40000.0, 60000.0]",286,housing,40k - 60k
Abra,"(60000.0, 80000.0]",125,housing,60k - 80k
Abra,"(80000.0, 100000.0]",50,housing,80k - 100k
Abra,"(100000.0, 120000.0]",19,housing,100k - 120k
Abra,"(120000.0, 140000.0]",16,housing,120k - 140k
Abra,"(140000.0, 160000.0]",5,housing,140k - 160k
Abra,"(160000.0, 180000.0]",2,housing,160k - 180k
Abra,"(-0.001, 9000.0]",26,col,0k - 9k
Abra,"(9000.0, 18000.0]",319,col,9k - 18k
Abra,"(18000.0, 27000.0]",474,col,18k - 27k
Abra,"(27000.0, 36000.0]",337,col,27k - 36k
Abra,"(36000.0, 45000.0]",170,col,36k - 45k
Abra,"(45000.0, 54000.0]",67,col,45k - 54k
Abra,"(54000.0, 63000.0]",42,col,54k - 63k
Abra,"(63000.0, 72000.0]",17,col,63k - 72k
Abra,"(72000.0, 81000.0]",7,col,72k - 81k
Abra,"(81000.0, 90000.0]",8,col,81k - 90k
Abra,"(-0.001, 19000.0]",139,income,0k - 19k
Abra,"(19000.0, 38000.0]",658,income,19k - 38k
Abra,"(38000.0, 57000.0]",376,income,38k - 57k
Abra,"(57000.0, 76000.0]",140,income,57k - 76k
Abra,"(76000.0, 95000.0]",70,income,76k - 95k
Abra,"(95000.0, 114000.0]",31,income,95k - 114k
Abra,"(114000.0, 133000.0]",18,income,114k - 133k
Abra,"(133000.0, 152000.0]",15,income,133k - 152k
Abra,"(152000.0, 171000.0]",12,income,152k - 171k
Abra,"(171000.0, 190000.0]",7,income,171k - 190k
Abra,"(-0.001, 7000.0]",619,transport,0k - 7k
Abra,"(7000.0, 14000.0]",429,transport,7k - 14k
Abra,"(14000.0, 21000.0]",221,transport,14k - 21k
Abra,"(21000.0, 28000.0]",86,transport,21k - 28k
Abra,"(28000.0, 35000.0]",48,transport,28k - 35k
Abra,"(35000.0, 42000.0]",27,transport,35k - 42k
Abra,"(42000.0, 49000.0]",12,transport,42k - 49k
Abra,"(49000.0, 56000.0]",7,transport,49k - 56k
Abra,"(56000.0, 63000.0]",11,transport,56k - 63k
Abra,"(63000.0, 70000.0]",5,transport,63k - 70k
Agusan del Norte,"(-0.001, 25000.0]",33,food,0k - 25k
Agusan del Norte,"(25000.0, 50000.0]",270,food,25k - 50k
Agusan del Norte,"(50000.0, 75000.0]",672,food,50k - 75k
Agusan del Norte,"(75000.0, 100000.0]",744,food,75k - 100k
Agusan del Norte,"(100000.0, 125000.0]",474,food,100k - 125k
Agusan del Norte,"(125000.0, 150000.0]",267,food,125k - 150k
Agusan del Norte,"(150000.0, 175000.0]",155,food,150k - 175k
Agusan del Norte,"(175000.0, 200000.0]",75,food,175k - 200k
Agusan del Norte,"(200000.0, 225000.0]",49,food,200k - 225k
Agusan del Norte,"(225000.0, 250000.0]",30,food,225k - 250k
Agusan del Norte,"(-0.001, 20000.0]",796,housing,0k - 20k
Agusan del Norte,"(20000.0, 40000.0]",915,housing,20k - 40k
