province_name,bin,count,variable,bin_label
Abra,"(9999.999, 32000.0]",27,food,9k - 32k
Abra,"(32000.0, 54000.0]",165,food,32k - 54k
Abra,"(54000.0, 76000.0]",283,food,54k - 76k
Abra,"(76000.0, 98000.0]",314,food,76k - 98k
Abra,"(98000.0, 120000.0]",250,food,98k - 120k
Abra,"(120000.0, 142000.0]",183,food,120k - 142k
Abra,"(142000.0, 164000.0]",93,food,142k - 164k
Abra,"(164000.0, 186000.0]",70,food,164k - 186k
Abra,"(186000.0, 208000.0]",45,food,186k - 208k
Abra,"(208000.0, 230000.0]",14,food,208k - 230k
Abra,"(-0.001, 11000.0]",41,housing,0k - 11k
Abra,"(11000.0, 22000.0]",291,housing,11k - 22k
Abra,"(22000.0, 33000.0]",431,housing,22k - 33k
Abra,"(33000.0, 44000.0]",291,housing,33k - 44k
Abra,"(44000.0, 55000.0]",168,housing,44k - 55k
Abra,"(55000.0, 66000.0]",83,housing,55k - 66k
Abra,"(66000.0, 77000.0]",68,housing,66k - 77k
Abra,"(77000.0, 88000.0]",32,housing,77k - 88k
Abra,"(88000.0, 99000.0]",25,housing,88k - 99k
Abra,"(99000.0, 110000.0]",13,housing,99k - 110k
Abra,"(-0.001, 7000.0]",7,col,0k - 7k
Abra,"(7000.0, 14000.0]",146,col,7k - 14k
Abra,"(14000.0, 21000.0]",357,col,14k - 21k
Abra,"(21000.0, 28000.0]",352,col,21k - 28k
Abra,"(28000.0, 35000.0]",265,col,28k - 35k
Abra,"(35000.0, 42000.0]",152,col,35k - 42k
Abra,"(42000.0, 49000.0]",84,col,42k - 49k
Abra,"(49000.0, 56000.0]",38,col,49k - 56k
Abra,"(56000.0, 63000.0]",34,col,56k - 63k
Abra,"(63000.0, 70000.0]",14,col,63k - 70k
Abra,"(-0.001, 15000.0]",77,income,0k - 15k
Abra,"(15000.0, 30000.0]",448,income,15k - 30k
Abra,"(30000.0, 45000.0]",451,income,30k - 45k
Abra,"(45000.0, 60000.0]",229,income,45k - 60k
Abra,"(60000.0, 75000.0]",103,income,60k - 75k
Abra,"(75000.0, 90000.0]",59,income,75k - 90k
Abra,"(90000.0, 105000.0]",35,income,90k - 105k
Abra,"(105000.0, 120000.0]",20,income,105k - 120k
Abra,"(120000.0, 135000.0]",13,income,120k - 135k
Abra,"(135000.0, 150000.0]",11,income,135k - 150k
Abra,"(-0.001, 5000.0]",463,transport,0k - 5k
Abra,"(5000.0, 10000.0]",380,transport,5k - 10k
Abra,"(10000.0, 15000.0]",259,transport,10k - 15k
Abra,"(15000.0, 20000.0]",147,transport,15k - 20k
Abra,"(20000.0, 25000.0]",65,transport,20k - 25k
Abra,"(25000.0, 30000.0]",59,transport,25k - 30k
Abra,"(30000.0, 35000.0]",30,transport,30k - 35k
Abra,"(35000.0, 40000.0]",24,transport,35k - 40k
Abra,"(40000.0, 45000.0]",8,transport,40k - 45k
Abra,"(45000.0, 50000.0]",8,transport,45k - 50k
Agusan del Norte,"(-0.001, 25000.0]",33,food,0k - 25k
Agusan del Norte,"(25000.0, 50000.0]",270,food,25k - 50k
Agusan del Norte,"(50000.0, 75000.0]",672,food,50k - 75k
Agusan del Norte,"(75000.0, 100000.0]",744,food,75k - 100k
