family_size,province_name,income,col,housing,food,transport
1.0,Abra,19238.33,13858.33,23950.0,48441.0,2600.0
1.0,Agusan del Norte,18877.5,13744.0,20571.0,42828.75,4142.0
1.0,Agusan del Sur,14251.67,10411.17,12240.0,39353.69,2340.0
1.0,Aklan,15985.0,11169.83,20740.0,38035.0,1700.0
1.0,Albay,16914.17,12095.62,27820.0,36150.6,2000.0
1.0,Antique,16140.5,10554.33,15482.0,38748.0,1750.0
1.0,Apayao,18762.0,10413.25,18510.0,35417.5,1310.0
1.0,Aurora,17075.33,11913.17,19620.0,40366.25,2100.0
1.0,Basilan,18253.5,10095.04,14900.0,38075.0,2100.0
1.0,Bataan,25866.67,16223.83,33990.0,46667.0,5100.0
1.0,Batanes,28758.33,16986.67,40868.0,46800.0,1695.0
1.0,Batangas,24147.83,15157.67,35785.0,39765.25,2790.0
1.0,Benguet,32857.5,20643.83,53158.0,48363.0,3800.0
1.0,Biliran,16567.5,9920.0,17340.0,37061.28,1520.0
1.0,Bohol,14440.0,10406.67,24920.0,28114.0,1320.0
1.0,Bukidnon,18310.83,8611.58,15212.0,28195.0,2700.0
1.0,Bulacan,27068.92,16867.0,38390.0,44779.75,3330.0
1.0,Cagayan,21763.42,14061.83,30590.5,40791.88,2575.0
1.0,Camarines Norte,17013.33,10491.83,20250.0,32355.0,1500.0
1.0,Camarines Sur,15605.67,9082.62,19936.0,31439.25,2038.0
1.0,Camiguin,20920.0,13360.33,24096.0,48111.0,3440.0
1.0,Capiz,15934.17,11902.0,17920.0,44872.5,2340.0
1.0,Catanduanes,14656.33,10869.33,16820.0,38842.0,800.0
1.0,Cavite,29474.67,18994.46,44165.0,48554.5,3112.0
1.0,Cebu,25483.33,15995.17,29460.0,45372.0,5280.0
1.0,Compostela Valley,18059.75,9290.75,14853.0,34747.75,1925.0
1.0,Davao Oriental,15236.67,8251.17,11520.0,30431.5,2020.0
1.0,Davao del Norte,20426.67,14335.33,25320.0,48541.0,3300.0
1.0,Davao del Sur,19158.33,11334.79,20675.0,35499.88,3000.0
1.0,Dinagat Islands,12027.5,7161.12,15990.0,24545.0,635.0
1.0,Eastern Samar,13288.33,9323.08,16298.0,33348.0,1368.0
1.0,Guimaras,15122.0,11946.67,16590.0,44783.0,3000.0
1.0,Ifugao,19063.75,10825.92,19740.0,37247.1,1995.0
1.0,Ilocos Norte,31076.5,17560.83,23460.0,66014.0,5440.0
1.0,Ilocos Sur,23757.5,14775.0,33900.0,39474.0,3100.0
1.0,Iloilo,20450.0,12458.73,22575.0,40157.0,3094.0
1.0,Isabela,21115.0,13004.67,28740.0,34890.0,2600.0
1.0,Kalinga,27468.33,16516.83,25800.0,61170.0,3600.0
1.0,La Union,20670.0,11274.83,19000.0,41132.0,1664.0
1.0,Laguna,29483.17,20539.25,38235.0,53191.5,4275.5
1.0,Lanao del Norte,19574.75,12563.96,18320.0,43061.5,3800.0
1.0,Lanao del Sur,16983.5,12074.58,16941.0,48311.5,3350.0
1.0,Leyte,17345.0,13059.38,23051.5,40600.25,1626.0
1.0,Maguindanao,17791.67,15144.92,17880.0,65108.5,5405.0
1.0,Marinduque,16802.33,12329.0,18640.0,43528.0,1980.0
1.0,Masbate,16218.33,9728.17,12775.0,40815.0,1880.0
1.0,Metropolitan Manila,41211.67,25945.68,63370.0,61945.75,7176.0
1.0,Misamis Occidental,12017.67,9243.67,13562.0,35638.5,2200.0
1.0,Misamis Oriental,22655.58,13409.4,26840.5,41663.5,4530.0
1.0,Mountain Province,20993.42,12018.75,17415.0,44582.0,2315.0
1.0,Negros Occidental,19253.33,14168.33,27320.0,44380.5,3250.0
1.0,Negros Oriental,18533.33,11007.5,20170.0,31484.0,3340.0
1.0,North Cotabato,19759.33,10899.0,16200.0,38100.0,2360.0
1.0,Northern Samar,19941.87,10728.62,19080.0,37200.5,1760.0
1.0,Nueva Ecija,23860.0,16911.17,31771.0,59270.5,5937.0
1.0,Nueva Vizcaya,18840.0,12997.17,21900.0,41918.0,4310.0
1.0,Occidental Mindoro,14272.42,8752.0,15300.0,34360.75,1200.0
1.0,Oriental Mindoro,18358.33,11492.29,23435.0,35084.0,3220.0
1.0,Palawan,18755.0,11753.17,20430.0,36237.5,2920.0
1.0,Pampanga,44233.33,28368.67,64175.0,71800.0,11400.0
1.0,Pangasinan,19656.02,11695.69,22050.0,36308.0,2093.0
1.0,Quezon,17961.67,13669.5,26320.0,38211.0,3120.0
1.0,Quirino,19477.17,10391.0,19520.0,35033.5,1605.0
1.0,Rizal,35955.83,21968.17,45550.0,53530.0,8310.0
1.0,Romblon,12267.58,9385.42,13210.0,36056.0,1185.0
1.0,Samar,12046.58,8696.99,13906.0,34136.5,742.5
1.0,Sarangani,11218.33,8145.21,10780.0,29251.0,1500.0
1.0,Siquijor,16332.0,8609.08,14900.0,27048.0,2660.0
1.0,Sorsogon,14150.83,11314.08,19230.0,40005.0,1600.0
1.0,South Cotabato,19667.5,12006.17,18572.0,38504.0,4880.0
1.0,Southern Leyte,18760.5,12353.5,17210.0,46019.0,2420.0
1.0,Sultan Kudarat,12762.5,9582.67,14670.0,33619.5,2600.0
1.0,Sulu,24866.67,12023.17,10695.0,58136.0,3675.0
1.0,Surigao del Norte,19201.0,9829.28,17607.0,34266.0,1860.0
1.0,Surigao del Sur,15369.25,11940.1,18941.0,46989.0,2340.0
1.0,Tarlac,25578.33,17960.92,32705.0,53147.5,3635.0
1.0,Tawi-Tawi,20288.33,11488.33,22600.0,27365.0,4620.0
1.0,Zambales,27225.83,19373.5,42240.0,53156.75,5590.0
1.0,Zamboanga Sibugay,13429.17,8598.25,11597.0,28837.0,1375.0
1.0,Zamboanga del Norte,14417.33,9870.17,13970.0,41310.0,2040.0
1.0,Zamboanga del Sur,16783.83,10181.75,17250.0,33316.0,3630.0
1.5,Abra,23953.33,17414.5,23180.0,62186.75,4630.0
1.5,Agusan del Norte,22786.0,15944.65,25875.0,54937.62,7107.5
1.5,Agusan del Sur,16328.33,12032.88,13995.0,49237.05,3182.0
1.5,Aklan,27246.0,16020.5,24990.0,52371.0,6800.0
1.5,Albay,23668.17,15901.08,29978.0,47068.0,3120.0
1.5,Antique,22515.42,13681.62,18935.0,47554.0,4431.0
1.5,Apayao,16365.15,12480.92,22208.0,38557.5,2100.0
1.5,Aurora,20381.58,14726.5,22330.0,50250.25,7035.0
