province_name,province,adjusted_mean,adjusted_median,adjusted_q1,adjusted_q3,adjusted_income_mean,adjusted_income_median,adjusted_income_q1,adjusted_income_q3,col_index,income_index,col_index_custom,income_index_custom
Abra,1,12640.25,10777.33,8025.76,15194.52,19719.61,15587.22,11076.97,22743.83,0.3812387851127554,0.31695852867800367,0.5000217784406636,0.6391966895274473
Agusan del Norte,2,12841.52,9911.75,7012.19,14800.7,21022.8,13736.9,9586.52,22649.47,0.31054323954141577,0.2155936816248002,0.4073105986755137,0.585652689758949
Agusan del Sur,3,10131.46,8294.65,6167.15,11469.29,15051.53,11032.06,7988.06,15937.98,0.17846790653532368,0.06741623507318362,0.2340797048508078,0.5073808490320341
Aklan,4,13828.0,11143.56,8674.81,15553.25,23185.98,17011.96,12526.13,25651.33,0.41115032379732713,0.3950091103020369,0.5241912279080817,0.6804253841479295
Albay,5,11331.45,9307.69,7103.46,13028.36,18763.64,14016.21,10271.46,21085.94,0.2612071281966258,0.23089493515415194,0.34260102368092354,0.593735277946581
Antique,6,11538.4,9209.32,6836.66,13114.87,21916.35,15060.63,10599.17,23647.9,0.2531728381046034,0.2881106997566568,0.3320631948357461,0.6239583875915155
Apayao,81,11666.44,10081.82,8474.33,13016.94,23207.21,16008.33,11523.83,25706.48,0.3244335690722711,0.3400279170770777,0.4255292481794205,0.6513826431692566
Aurora,77,12837.19,10167.8,7591.08,14661.63,22568.87,15067.62,11050.78,22775.56,0.3314559159474573,0.2884936282668076,0.4347398055049094,0.6241606620945106
Basilan,97,8193.43,7045.36,5552.37,9354.86,13728.5,11055.52,8515.71,15205.96,0.07643315743435236,0.06870142861368922,0.10025024263680322,0.508059727406893
Bataan,8,16104.81,13701.3,10267.59,18540.8,26910.98,20723.52,14133.05,30542.82,0.6200516670927336,0.5983370274886792,0.6929899819172947,0.7878293833376739
Batanes,9,17744.4,15388.1,11070.42,21133.78,37305.28,27254.1,19408.52,41719.75,0.757819691157217,0.9560974380493983,0.8043108113459077,0.9768093295135573
Batangas,10,15955.17,13480.42,9579.68,18952.64,28554.61,22264.0,15222.52,33744.86,0.6020114719567584,0.6827281163752064,0.6784129456330927,0.8324073270249154
Benguet,11,16774.29,15000.35,10619.07,20489.51,29730.09,24923.33,17126.62,37300.14,0.7261505238990933,0.8284124189358424,0.7787211435661208,0.9093622131550771
