region_name,income,col,housing,food,transport
Bangsamoro Autonomous Region in Muslim Mindanao,10917.78,7642.29,20530.0,85139.0,6690.0
Cordillera Administrative Region,18759.11,11196.96,38408.0,90097.5,8760.0
National Capital Region,28055.5,18353.3,83490.0,127933.85,16204.0
Region I - Ilocos Region,20856.67,12237.13,40110.0,94713.0,12030.0
Region II - Cagayan Valley,17265.44,10355.62,37630.0,79951.0,10191.0
Region III - Central Luzon,21081.57,14242.61,56280.0,108770.62,13700.0
Region IVA - CALABARZON,21202.58,14174.5,53945.0,107733.0,13837.0
Region IVB - MIMAROPA,13791.08,9059.5,28800.0,77341.0,8620.0
Region IX - Zamboanga Peninsula,12696.3,8329.0,25092.0,83718.0,8300.0
Region V- Bicol,12849.74,8476.02,29404.0,80452.0,7615.0
Region VI - Western Visayas,16384.29,10739.84,34343.0,91378.5,10940.0
Region VII - Central Visayas,18094.74,10449.81,39739.0,83323.0,10900.0
Region VIII - Eastern Visayas,13777.23,8880.09,29032.5,83461.2,7642.0
Region X - Northern Mindanao,14617.08,8881.95,30860.0,76686.0,9740.0
Region XI - Davao,14038.54,8302.89,26680.0,71876.5,8440.0
Region XII - SOCCSKSARGEN,12875.44,8655.99,25215.0,77450.0,9800.0
Region XIII - Caraga,13218.33,8967.83,27175.0,85918.0,8940.0
