region_name,bin,count,variable,bin_label
Bangsamoro Autonomous Region in Muslim Mindanao,"(9999.999, 29000.0]",132,food,9k - 29k
Bangsamoro Autonomous Region in Muslim Mindanao,"(29000.0, 48000.0]",701,food,29k - 48k
Bangsamoro Autonomous Region in Muslim Mindanao,"(48000.0, 67000.0]",1821,food,48k - 67k
Bangsamoro Autonomous Region in Muslim Mindanao,"(67000.0, 86000.0]",2680,food,67k - 86k
Bangsamoro Autonomous Region in Muslim Mindanao,"(86000.0, 105000.0]",2181,food,86k - 105k
Bangsamoro Autonomous Region in Muslim Mindanao,"(105000.0, 124000.0]",1247,food,105k - 124k
Bangsamoro Autonomous Region in Muslim Mindanao,"(124000.0, 143000.0]",687,food,124k - 143k
Bangsamoro Autonomous Region in Muslim Mindanao,"(143000.0, 162000.0]",432,food,143k - 162k
Bangsamoro Autonomous Region in Muslim Mindanao,"(162000.0, 181000.0]",246,food,162k - 181k
Bangsamoro Autonomous Region in Muslim Mindanao,"(181000.0, 200000.0]",138,food,181k - 200k
Bangsamoro Autonomous Region in Muslim Mindanao,"(-0.001, 8000.0]",202,housing,0k - 8k
Bangsamoro Autonomous Region in Muslim Mindanao,"(8000.0, 16000.0]",2992,housing,8k - 16k
Bangsamoro Autonomous Region in Muslim Mindanao,"(16000.0, 24000.0]",3181,housing,16k - 24k
Bangsamoro Autonomous Region in Muslim Mindanao,"(24000.0, 32000.0]",1684,housing,24k - 32k
Bangsamoro Autonomous Region in Muslim Mindanao,"(32000.0, 40000.0]",905,housing,32k - 40k
Bangsamoro Autonomous Region in Muslim Mindanao,"(40000.0, 48000.0]",568,housing,40k - 48k
Bangsamoro Autonomous Region in Muslim Mindanao,"(48000.0, 56000.0]",335,housing,48k - 56k
Bangsamoro Autonomous Region in Muslim Mindanao,"(56000.0, 64000.0]",207,housing,56k - 64k
Bangsamoro Autonomous Region in Muslim Mindanao,"(64000.0, 72000.0]",107,housing,64k - 72k
Bangsamoro Autonomous Region in Muslim Mindanao,"(72000.0, 80000.0]",87,housing,72k - 80k
