family_size,region_name,income,col,housing,food,transport
1.0,Bangsamoro Autonomous Region in Muslim Mindanao,18253.5,12473.33,16620.0,48311.5,4000.0
1.0,Cordillera Administrative Region,24053.33,14338.5,27300.0,45777.0,2750.0
1.0,National Capital Region,41211.67,25945.68,63370.0,61945.75,7176.0
1.0,Region I - Ilocos Region,24693.33,14501.0,24530.0,45078.75,2950.0
1.0,Region II - Cagayan Valley,21117.0,13245.08,27140.0,39467.0,3000.0
1.0,Region III - Central Luzon,27688.5,18802.04,39075.0,54103.5,5460.0
1.0,Region IVA - CALABARZON,25778.33,17191.75,36460.0,46046.0,3510.0
1.0,Region IVB - MIMAROPA,16153.75,10853.67,17700.0,36971.5,2020.0
1.0,Region IX - Zamboanga Peninsula,15345.83,9857.5,14400.0,34984.0,2340.0
1.0,Region V- Bicol,15897.17,10766.53,19280.0,36282.5,1700.0
1.0,Region VI - Western Visayas,17244.67,12011.0,19500.0,41918.0,2600.0
1.0,Region VII - Central Visayas,21110.33,12682.58,25340.0,36139.0,3600.0
1.0,Region VIII - Eastern Visayas,16297.0,10726.1,17815.0,38700.5,1549.0
1.0,Region X - Northern Mindanao,19835.0,11474.17,19800.0,37703.0,3440.0
1.0,Region XI - Davao,17956.67,11236.35,18975.0,37069.5,2700.0
1.0,Region XII - SOCCSKSARGEN,17216.25,10891.83,17100.0,36280.0,3025.0
1.0,Region XIII - Caraga,15833.33,10563.5,17130.0,38295.0,2340.0
1.5,Bangsamoro Autonomous Region in Muslim Mindanao,23354.17,15403.44,18583.0,56917.75,4505.0
1.5,Cordillera Administrative Region,32379.33,19964.75,37269.0,57921.5,5187.5
1.5,National Capital Region,49073.33,30714.25,71610.0,77526.41,10569.0
1.5,Region I - Ilocos Region,34100.83,19241.33,32440.0,60453.0,7500.0
1.5,Region II - Cagayan Valley,25965.0,15608.5,33150.0,47408.0,4680.0
1.5,Region III - Central Luzon,33518.25,23232.17,46980.0,70640.5,9000.0
1.5,Region IVA - CALABARZON,40695.83,24093.33,48924.0,60010.0,6800.0
1.5,Region IVB - MIMAROPA,22805.0,15100.08,22870.0,48736.5,4927.0
1.5,Region IX - Zamboanga Peninsula,16375.83,11088.33,16110.0,42178.0,3600.0
1.5,Region V- Bicol,23205.83,15696.65,29334.5,49559.0,3919.0
1.5,Region VI - Western Visayas,25118.42,16386.25,25302.5,54161.0,4795.0
1.5,Region VII - Central Visayas,31400.0,18276.83,31390.0,53187.64,6578.0
1.5,Region VIII - Eastern Visayas,23472.5,14805.0,22564.0,51907.75,2912.0
1.5,Region X - Northern Mindanao,23946.67,15045.5,27716.0,48503.5,5310.0
1.5,Region XI - Davao,21790.67,12581.08,20060.0,39093.0,2900.0
1.5,Region XII - SOCCSKSARGEN,20161.0,12762.17,17300.0,46486.0,3430.0
1.5,Region XIII - Caraga,20688.33,14145.27,21766.0,51660.5,4809.0
2.0,Bangsamoro Autonomous Region in Muslim Mindanao,23410.83,16291.25,18145.0,65917.5,5267.5
2.0,Cordillera Administrative Region,34642.92,21813.42,36311.0,67502.5,6000.0
2.0,National Capital Region,53918.33,35178.08,78075.0,87746.5,12084.0
2.0,Region I - Ilocos Region,36632.67,21873.0,35670.0,68998.0,7970.0
2.0,Region II - Cagayan Valley,31180.0,19281.33,36080.0,59034.0,7102.0
2.0,Region III - Central Luzon,40434.58,27294.73,50895.0,78760.25,10390.0
2.0,Region IVA - CALABARZON,40885.0,27187.42,51960.0,73937.75,9217.0
2.0,Region IVB - MIMAROPA,26028.33,16929.17,27510.0,56410.0,6178.0
2.0,Region IX - Zamboanga Peninsula,25105.67,15728.92,23430.0,59690.25,5220.0
2.0,Region V- Bicol,24742.44,16598.38,27215.0,57201.75,3880.0
2.0,Region VI - Western Visayas,29587.0,19923.94,31050.0,66696.5,6660.0
2.0,Region VII - Central Visayas,34576.67,20137.08,36798.5,58424.0,7361.0
2.0,Region VIII - Eastern Visayas,25847.5,16808.58,26100.0,59006.67,4200.0
2.0,Region X - Northern Mindanao,27521.25,17151.38,28067.0,56387.0,6390.0
2.0,Region XI - Davao,25816.83,16002.17,25140.0,51948.0,5770.0
