family_size,region_name,region,food_mean,food_median,food_q1,food_q3,transportation_mean,transportation_median,transportation_q1,transportation_q3,housing_mean,housing_median,housing_q1,housing_q3,monthly_mean,monthly_median,monthly_q1,monthly_q3,monthly_income_mean,monthly_income_median,monthly_income_q1,monthly_income_q3,col_index,income_index,col_index_custom,income_index_custom
1.0,Bangsamoro Autonomous Region in Muslim Mindanao,19,48311.5,48311.5,35039.12,66285.0,4000.0,4000.0,1935.0,7027.5,16620.0,16620.0,11680.0,26610.0,14108.84,12473.33,9916.21,16478.38,23111.34,18253.5,14632.75,25275.0,0.01627784097743587,0.007078895699379813,0.505308352463363,0.5090008746252144
1.0,Cordillera Administrative Region,14,45777.0,45777.0,34488.0,61245.12,2750.0,2750.0,1100.0,6415.0,27300.0,27300.0,16941.0,46475.0,17331.79,14338.5,10559.33,21127.31,30124.19,24053.33,16362.75,34940.92,0.027884459395255093,0.021198927079878298,0.5111450586255432,0.5159832250134384
1.0,National Capital Region,13,61945.75,61945.75,48578.12,81079.5,7176.0,7176.0,2725.5,15600.0,63370.0,63370.0,40680.0,103837.5,33721.97,25945.68,19343.79,37456.11,59268.84,41211.67,30940.71,60776.42,0.10011385894968869,0.06297192719147851,0.5474675917091404,0.536639958393603
1.0,Region I - Ilocos Region,1,45078.75,45078.75,31392.5,64168.0,2950.0,2950.0,900.0,7800.0,24530.0,24530.0,15500.0,43515.0,17636.59,14501.0,10202.79,20310.33,32890.38,24693.33,16687.5,35691.5,0.028895667753150417,0.02275704517704994,0.5116535724614693,0.5167537138464668
1.0,Region II - Cagayan Valley,2,39467.0,39467.0,29560.5,53016.0,3000.0,3000.0,865.0,7709.0,27140.0,27140.0,17600.0,41553.5,15624.13,13245.08,9455.33,18464.66,27271.46,21117.0,14966.46,30253.75,0.021080302824855665,0.014050256904459511,0.5077234020195228,0.5124482102086159
1.0,Region III - Central Luzon,3,54103.5,54103.5,38966.25,72873.75,5460.0,5460.0,2000.0,12276.0,39075.0,39075.0,24240.0,60617.5,22134.1,18802.04,13266.0,27329.58,35856.69,27688.5,18268.17,42038.33,0.05566026834171725,0.03004896483502744,0.5251128853776017,0.5203595654683759
1.0,Region IVA - CALABARZON,4,46046.0,46046.0,32419.0,61380.5,3510.0,3510.0,1334.0,8859.0,36460.0,36460.0,23855.0,55850.0,20545.78,17191.75,12065.62,23732.21,33304.37,25778.33,17243.75,39181.04,0.04563972245473101,0.02539854226366125,0.5200737792554269,0.5180599331962104
1.0,Region IVB - MIMAROPA,17,36971.5,36971.5,28217.25,49545.75,2020.0,2020.0,642.5,5902.5,17700.0,17700.0,11205.0,31398.75,13683.73,10853.67,7764.45,15604.5,23182.91,16153.75,11107.88,24124.58,0.006198987260828223,0.001966929332917061,0.5002399246510797,0.5064730091140401
1.0,Region IX - Zamboanga Peninsula,9,34984.0,34984.0,25940.0,47447.0,2340.0,2340.0,980.0,6550.0,14400.0,14400.0,9220.0,29460.0,13208.99,9857.5,6898.5,15745.08,23365.85,15345.83,10349.92,24419.83,0.0,0.0,0.0,0.5055003632734458
1.0,Region V- Bicol,5,36282.5,36282.5,27343.0,49606.87,1700.0,1700.0,800.0,4400.0,19280.0,19280.0,12442.0,32118.0,13519.43,10766.53,7695.5,15103.67,22636.27,15897.17,11130.5,23020.0,0.005656730668169782,0.0013422700495228368,0.4943066884176186,0.5061641153253239
1.0,Region VI - Western Visayas,6,41918.0,41918.0,31733.0,54367.0,2600.0,2600.0,1070.0,6960.0,19500.0,19500.0,12210.0,36150.0,15631.2,12011.0,8746.17,18752.08,25313.34,17244.67,12603.33,28283.33,0.013400844299862047,0.004622839011927199,0.5038615758371249,0.5077863554854892
1.0,Region VII - Central Visayas,7,36139.0,36139.0,24802.75,51276.88,3600.0,3600.0,1500.0,8920.0,25340.0,25340.0,14277.0,43478.0,16280.72,12682.58,8054.42,18890.58,28544.62,21110.33,13259.67,32471.5,0.017579966201371852,0.014034018392415554,0.5059631618182402,0.5124401802703091
1.0,Region VIII - Eastern Visayas,8,38700.5,38700.5,30203.78,53633.75,1549.0,1549.0,642.5,5065.0,17815.0,17815.0,11294.75,31270.0,14071.72,10726.1,7835.22,16435.96,23000.45,16297.0,11595.96,25473.04,0.005405142028725413,0.0023156799851355575,0.47232191408374136,0.5066454661848704
1.0,Region X - Northern Mindanao,10,37703.0,37703.0,28240.0,50309.5,3440.0,3440.0,1370.0,8665.0,19800.0,19800.0,12075.0,34021.0,15036.47,11474.17,8251.38,16852.42,27148.09,19835.0,12525.58,30053.5,0.010060247482822374,0.010929151591062558,0.502181665175339,0.5109048247649558
1.0,Region XI - Davao,11,37069.5,37069.5,27928.12,48589.0,2700.0,2700.0,1185.0,6715.0,18975.0,18975.0,12086.5,31937.5,13476.33,11236.35,7822.73,15829.08,24690.28,17956.67,12568.54,26882.08,0.00858033627251674,0.0063562453950306505,0.5014374512648163,0.5086435243122334
1.0,Region XII - SOCCSKSARGEN,12,36280.0,36280.0,27641.6,48937.25,3025.0,3025.0,1050.0,8240.0,17100.0,17100.0,11215.0,27337.5,13281.65,10891.83,7690.46,15366.62,22127.65,17216.25,11143.33,24656.25,0.006436450097365362,0.0045536488301746725,0.5003593393463347,0.5077521409657476
1.0,Region XIII - Caraga,16,38295.0,38295.0,27381.0,54065.7,2340.0,2340.0,880.0,6020.0,17130.0,17130.0,11500.0,31170.0,14172.98,10563.5,7859.83,15727.42,22319.62,15833.33,11130.0,24710.0,0.004393311388763699,0.0011868477693299656,0.38390429581294183,0.5060872590642292
1.5,Bangsamoro Autonomous Region in Muslim Mindanao,19,56917.75,56917.75,48176.75,86410.25,4505.0,4505.0,2242.5,8850.0,18583.0,18583.0,11692.5,25895.0,17258.67,15403.44,11987.42,21657.99,28996.44,23354.17,19406.88,32986.0,0.034511390033144615,0.019496780441099336,0.5144775923143501,0.5151415141189069
1.5,Cordillera Administrative Region,14,57921.5,57921.5,43741.0,78143.85,5187.5,5187.5,1980.0,11142.5,37269.0,37269.0,20914.5,63783.0,23090.31,19964.75,13540.79,29426.42,44005.06,32379.33,22208.54,49934.17,0.06289560415592324,0.04146906970027068,0.528751372283261,0.5260068031756179
1.5,National Capital Region,13,77526.41,77526.41,59287.25,99117.62,10569.0,10569.0,4987.0,19233.0,71610.0,71610.0,48773.75,109734.75,38022.38,30714.25,24317.02,42569.77,63903.6,49073.33,38675.83,70756.58,0.12978781488328198,0.08211160644118232,0.5623899536942607,0.5461045228296443
1.5,Region I - Ilocos Region,1,60453.0,60453.0,43649.5,79967.5,7500.0,7500.0,2367.0,12450.0,32440.0,32440.0,22665.0,52590.0,22580.78,19241.33,14356.32,28106.96,41364.76,34100.83,24703.17,49042.42,0.05839389123119318,0.045660163925709714,0.5264875625651954,0.5280792977475842
1.5,Region II - Cagayan Valley,2,47408.0,47408.0,36713.5,63816.0,4680.0,4680.0,1780.0,10360.0,33150.0,33150.0,19824.0,46775.0,18408.95,15608.5,12069.38,21097.08,33521.98,25965.0,18597.08,37665.83,0.03578744163849856,0.02585300149053473,0.5151192898355501,0.5182846631188064
1.5,Region III - Central Luzon,3,70640.5,70640.5,49810.5,92079.12,9000.0,9000.0,4902.0,15374.0,46980.0,46980.0,28925.0,67964.0,27531.28,23232.17,16364.28,33633.33,49068.3,33518.25,24006.17,51747.08,0.08322817284979611,0.044241838236568694,0.538976161684994,0.5273779362095441
