region_name,bin,count,variable
Bangsamoro Autonomous Region in Muslim Mindanao,"(16044.0, 57018.691]",1522,food_total
Bangsamoro Autonomous Region in Muslim Mindanao,"(57018.691, 97993.382]",5289,food_total
Bangsamoro Autonomous Region in Muslim Mindanao,"(97993.382, 138968.073]",2533,food_total
Bangsamoro Autonomous Region in Muslim Mindanao,"(138968.073, 179942.764]",768,food_total
Bangsamoro Autonomous Region in Muslim Mindanao,"(179942.764, 220917.455]",250,food_total
Bangsamoro Autonomous Region in Muslim Mindanao,"(220917.455, 261892.146]",73,food_total
Bangsamoro Autonomous Region in Muslim Mindanao,"(261892.146, 302866.837]",21,food_total
Bangsamoro Autonomous Region in Muslim Mindanao,"(302866.837, 343841.528]",6,food_total
Bangsamoro Autonomous Region in Muslim Mindanao,"(343841.528, 384816.219]",1,food_total
Bangsamoro Autonomous Region in Muslim Mindanao,"(384816.219, 425790.91]",1,food_total
Bangsamoro Autonomous Region in Muslim Mindanao,"(2640.0, 25517.7]",6767,housing_and_water
Bangsamoro Autonomous Region in Muslim Mindanao,"(25517.7, 48395.4]",2780,housing_and_water
Bangsamoro Autonomous Region in Muslim Mindanao,"(48395.4, 71273.1]",624,housing_and_water
Bangsamoro Autonomous Region in Muslim Mindanao,"(71273.1, 94150.8]",191,housing_and_water
Bangsamoro Autonomous Region in Muslim Mindanao,"(94150.8, 117028.5]",59,housing_and_water
Bangsamoro Autonomous Region in Muslim Mindanao,"(117028.5, 139906.2]",27,housing_and_water
Bangsamoro Autonomous Region in Muslim Mindanao,"(139906.2, 162783.9]",6,housing_and_water
Bangsamoro Autonomous Region in Muslim Mindanao,"(162783.9, 185661.6]",4,housing_and_water
Bangsamoro Autonomous Region in Muslim Mindanao,"(185661.6, 208539.30000000002]",2,housing_and_water
Bangsamoro Autonomous Region in Muslim Mindanao,"(208539.30000000002, 231417.0]",3,housing_and_water
Bangsamoro Autonomous Region in Muslim Mindanao,"(4963.5, 18763.728333333333]",4270,monthly_col
Bangsamoro Autonomous Region in Muslim Mindanao,"(18763.728333333333, 32563.956666666665]",5146,monthly_col
Bangsamoro Autonomous Region in Muslim Mindanao,"(32563.956666666665, 46364.185]",800,monthly_col
Bangsamoro Autonomous Region in Muslim Mindanao,"(46364.185, 60164.41333333333]",157,monthly_col
Bangsamoro Autonomous Region in Muslim Mindanao,"(60164.41333333333, 73964.64166666666]",59,monthly_col
