region,product,price,
NCR,Rice (well-milled),50.29,
NCR,Rice (regular-milled),42.46,
NCR,Rice (special),58.53,
CAR,Rice (well-milled),53.17,
CAR,Rice (regular-milled),47.06,
CAR,Rice (special),59.40,
Illocos Region,Rice (well-milled),47.63,
Illocos Region,Rice (regular-milled),42.90,
Illocos Region,Rice (special),56.46,
Cagayan Valley,Rice (well-milled),49.34,
Cagayan Valley,Rice (regular-milled),40.48,
Cagayan Valley,Rice (special),58.31,
Central Luzon,Rice (well-milled),51.35,
Central Luzon,Rice (regular-milled),44.63,
Central Luzon,Rice (special),60.43,
CALABARZON,Rice (well-milled),50.75,
CALABARZON,Rice (regular-milled),45.24,
CALABARZON,Rice (special),56.59,
MIMAROPA Region,Rice (well-milled),50.87,
MIMAROPA Region,Rice (regular-milled),44.92,
MIMAROPA Region,Rice (special),62.77,
Bicol Region,Rice (well-milled),51.18,
Bicol Region,Rice (regular-milled),46.23,
Bicol Region,Rice (special),58.66,
Western Visayas,Rice (well-milled),52.53,
Western Visayas,Rice (regular-milled),44.11,
Western Visayas,Rice (special),59.88,
NIR,Rice (well-milled),54.45,
NIR,Rice (regular-milled),48.60,
NIR,Rice (special),62.72,
Central Visayas,Rice (well-milled),53.97,
Central Visayas,Rice (regular-milled),45.80,
Central Visayas,Rice (special),108.32,
Eastern Visayas,Rice (well-milled),52.82,
Eastern Visayas,Rice (regular-milled),46.15,
Eastern Visayas,Rice (special),61.51,
Zamboanga Peninsula,Rice (well-milled),51.95,
Zamboanga Peninsula,Rice (regular-milled),45.82,
Zamboanga Peninsula,Rice (special),54.05,
Northern Mindanao,Rice (well-milled),52.95,
Northern Mindanao,Rice (regular-milled),47.50,
Northern Mindanao,Rice (special),58.73,
Davao Region,Rice (well-milled),51.86,
Davao Region,Rice (regular-milled),44.83,
Davao Region,Rice (special),56.68,
SOCCSKSARGEN,Rice (well-milled),46.23,
SOCCSKSARGEN,Rice (regular-milled),41.92,
SOCCSKSARGEN,Rice (special),53.70,
Caraga,Rice (well-milled),49.30,
Caraga,Rice (regular-milled),44.94,
Caraga,Rice (special),55.39,
BARMM,Rice (well-milled),51.90,
BARMM,Rice (regular-milled),46.88,
BARMM,Rice (special),58.52,
NCR,Carrot,105.35,
NCR,Turnip,0.00,
NCR,Raddish,98.31,
NCR,Potato,114.80,
NCR,Sweet Potato,76.26,
NCR,Ube,0.00,
NCR,Gabi tubers,0.00,
CAR,Carrot,86.55,
CAR,Turnip,0.00,
CAR,Raddish,0.00,
CAR,Potato,97.87,
CAR,Sweet Potato,64.25,
CAR,Ube,0.00,
CAR,Gabi tubers,86.46,
Illocos Region,Carrot,113.13,
Illocos Region,Turnip,0.00,
Illocos Region,Raddish,0.00,
Illocos Region,Potato,109.54,
Illocos Region,Sweet Potato,0.00,
Illocos Region,Ube,0.00,
Illocos Region,Gabi tubers,69.21,
Cagayan Valley,Carrot,97.19,
Cagayan Valley,Turnip,58.05,
Cagayan Valley,Raddish,97.71,
Cagayan Valley,Potato,129.00,
Cagayan Valley,Sweet Potato,0.00,
Cagayan Valley,Ube,69.17,
Cagayan Valley,Gabi tubers,0.00,
Central Luzon,Carrot,112.22,
Central Luzon,Turnip,73.48,
Central Luzon,Raddish,83.20,
Central Luzon,Potato,115.89,
Central Luzon,Sweet Potato,0.00,
Central Luzon,Ube,78.82,
Central Luzon,Gabi tubers,0.00,
CALABARZON,Carrot,121.65,
CALABARZON,Turnip,0.00,
CALABARZON,Raddish,100.47,
CALABARZON,Potato,120.02,
CALABARZON,Sweet Potato,71.73,
CALABARZON,Ube,0.00,
CALABARZON,Gabi tubers,0.00,
MIMAROPA Region,Carrot,165.80,
MIMAROPA Region,Turnip,0.00,
MIMAROPA Region,Raddish,120.92,
MIMAROPA Region,Potato,145.77,
MIMAROPA Region,Sweet Potato,0.00,
MIMAROPA Region,Ube,57.29,
MIMAROPA Region,Gabi tubers,89.46,
Bicol Region,Carrot,139.90,
Bicol Region,Turnip,0.00,
Bicol Region,Raddish,0.00,
Bicol Region,Potato,134.97,
Bicol Region,Sweet Potato,66.57,
Bicol Region,Ube,0.00,
Bicol Region,Gabi tubers,0.00,
Western Visayas,Carrot,137.48,
Western Visayas,Turnip,0.00,
Western Visayas,Raddish,91.47,
Western Visayas,Potato,141.79,
